id	camera_l	depth	qw	qx	qy	qz	tx	ty	tz
75	Seq001/img/000076.png	Seq001/depth/000076.npy	1.000000	-0.000328	0.000039	-0.000263	0.458331	-4.486932	-0.110644
76	Seq001/img/000077.png	Seq001/depth/000077.npy	1.000000	0.000272	0.000049	-0.000613	0.438887	-4.368603	-0.152115
77	Seq001/img/000078.png	Seq001/depth/000078.npy	1.000000	-0.000388	0.000130	-0.000698	0.403533	-4.363651	-0.162094
78	Seq001/img/000079.png	Seq001/depth/000079.npy	1.000000	-0.000060	-0.000079	-0.000489	0.445157	-4.556901	-0.206733
79	Seq001/img/000080.png	Seq001/depth/000080.npy	0.999999	-0.000627	0.000095	-0.000854	0.471703	-4.215588	-0.101213
80	Seq001/img/000081.png	Seq001/depth/000081.npy	0.999999	-0.000951	0.000461	-0.000702	0.546233	-4.479364	-0.169324
81	Seq001/img/000082.png	Seq001/depth/000082.npy	1.000000	-0.000217	0.000186	-0.000323	0.485034	-4.357821	-0.149893
82	Seq001/img/000083.png	Seq001/depth/000083.npy	1.000000	-0.000241	-0.000028	-0.000256	0.525406	-4.356058	-0.152746
83	Seq001/img/000084.png	Seq001/depth/000084.npy	0.985170	0.005713	-0.007343	0.171330	0.527521	-2.336155	-0.134974
84	Seq001/img/000085.png	Seq001/depth/000085.npy	0.882436	0.001957	-0.019231	0.470036	5.448247	-0.884941	0.170732
85	Seq001/img/000086.png	Seq001/depth/000086.npy	0.999332	0.000166	-0.000555	0.036532	1.204159	-4.335179	-0.038912
86	Seq001/img/000087.png	Seq001/depth/000087.npy	0.911296	0.002107	-0.014140	0.411505	1.335472	-0.497608	-0.062168
87	Seq001/img/000088.png	Seq001/depth/000088.npy	0.941543	0.005125	-0.002271	0.336848	4.194548	-2.016523	-0.112160
88	Seq001/img/000089.png	Seq001/depth/000089.npy	0.999043	-0.000263	-0.000412	0.043747	1.185680	-3.994949	-0.088449
89	Seq001/img/000090.png	Seq001/depth/000090.npy	0.999846	0.000156	0.000133	0.017556	1.063849	-4.339453	-0.155737
90	Seq001/img/000091.png	Seq001/depth/000091.npy	0.999960	0.000716	0.000093	0.008884	0.864819	-4.255713	-0.127714
91	Seq001/img/000092.png	Seq001/depth/000092.npy	0.999979	0.000738	-0.000261	0.006390	0.706844	-4.212618	-0.110572
92	Seq001/img/000093.png	Seq001/depth/000093.npy	0.999991	0.000746	-0.000094	0.004275	0.788125	-4.340429	-0.107016
93	Seq001/img/000094.png	Seq001/depth/000094.npy	0.999994	0.000315	0.000097	0.003525	0.757405	-4.303734	-0.107277
94	Seq001/img/000095.png	Seq001/depth/000095.npy	0.999995	0.000464	-0.000191	0.003059	0.632762	-4.309115	-0.100794
95	Seq001/img/000096.png	Seq001/depth/000096.npy	0.999998	0.000245	-0.000115	0.001972	0.602689	-4.449314	-0.087915
96	Seq001/img/000097.png	Seq001/depth/000097.npy	0.999998	-0.000233	0.000243	0.001860	0.647196	-4.201984	-0.108207
97	Seq001/img/000098.png	Seq001/depth/000098.npy	0.999998	-0.000334	0.000487	0.001833	0.646743	-4.396922	-0.087159
98	Seq001/img/000099.png	Seq001/depth/000099.npy	0.999999	-0.000164	0.000388	0.001357	0.629493	-4.463231	-0.112401
99	Seq001/img/000100.png	Seq001/depth/000100.npy	0.999999	0.000362	-0.000231	0.001023	0.605619	-4.243931	-0.099939
100	Seq001/img/000101.png	Seq001/depth/000101.npy	1.000000	-0.000044	0.000396	0.000793	0.527863	-4.519333	-0.108667
101	Seq001/img/000102.png	Seq001/depth/000102.npy	1.000000	-0.000357	0.000076	0.000465	0.627907	-4.376891	-0.136155
102	Seq001/img/000103.png	Seq001/depth/000103.npy	1.000000	-0.000613	0.000326	0.000355	0.504210	-4.292567	-0.093730
103	Seq001/img/000104.png	Seq001/depth/000104.npy	1.000000	-0.000522	0.000289	0.000730	0.551135	-4.360499	-0.068101
104	Seq001/img/000105.png	Seq001/depth/000105.npy	1.000000	-0.000511	0.000366	0.000660	0.610093	-4.590359	-0.134717
105	Seq001/img/000106.png	Seq001/depth/000106.npy	0.985626	0.007111	0.002541	-0.168774	-0.256619	-2.500202	-0.073803
106	Seq001/img/000107.png	Seq001/depth/000107.npy	0.863971	0.006855	0.012639	-0.503337	-4.863406	-1.745963	0.033946
107	Seq001/img/000108.png	Seq001/depth/000108.npy	0.999026	0.001201	0.001424	-0.044080	0.041157	-4.088622	-0.004867
108	Seq001/img/000109.png	Seq001/depth/000109.npy	0.931745	0.006063	0.007442	-0.362987	-1.290325	-0.624695	-0.029804
109	Seq001/img/000110.png	Seq001/depth/000110.npy	0.929766	0.001447	0.004604	-0.368120	-3.295162	-2.690776	-0.186937
110	Seq001/img/000111.png	Seq001/depth/000111.npy	0.999111	0.000488	0.000683	-0.042142	-0.057344	-4.155182	-0.111260
111	Seq001/img/000112.png	Seq001/depth/000112.npy	0.999924	0.000176	-0.000843	-0.012309	0.284538	-4.506443	-0.111856
112	Seq001/img/000113.png	Seq001/depth/000113.npy	0.999988	-0.000175	-0.000655	-0.004807	0.322221	-4.286208	-0.130850
113	Seq001/img/000114.png	Seq001/depth/000114.npy	0.999996	0.000710	-0.000681	-0.002460	0.445737	-4.393535	-0.129958
114	Seq001/img/000115.png	Seq001/depth/000115.npy	0.999998	-0.000328	-0.000564	-0.001878	0.383305	-4.512846	-0.127599
115	Seq001/img/000116.png	Seq001/depth/000116.npy	0.999997	0.000042	-0.000427	-0.002219	0.404249	-4.287461	-0.096466
116	Seq001/img/000117.png	Seq001/depth/000117.npy	0.999999	-0.000539	-0.000036	-0.001374	0.414690	-4.381239	-0.116635
117	Seq001/img/000118.png	Seq001/depth/000118.npy	1.000000	0.000380	-0.000352	-0.000755	0.394373	-4.344279	-0.135539
118	Seq001/img/000119.png	Seq001/depth/000119.npy	0.999999	-0.000016	-0.000118	-0.001276	0.413643	-4.383113	-0.135069
119	Seq001/img/000120.png	Seq001/depth/000120.npy	0.999999	0.000035	0.000220	-0.000976	0.460150	-4.370911	-0.150293
120	Seq001/img/000121.png	Seq001/depth/000121.npy	0.999999	-0.000232	-0.000118	-0.000973	0.472404	-4.540846	-0.174276
121	Seq001/img/000122.png	Seq001/depth/000122.npy	1.000000	-0.000030	0.000166	-0.000472	0.429859	-4.258044	-0.107939
122	Seq001/img/000123.png	Seq001/depth/000123.npy	1.000000	-0.000546	0.000187	-0.000432	0.417935	-4.455290	-0.132592
123	Seq001/img/000124.png	Seq001/depth/000124.npy	1.000000	-0.000335	0.000238	-0.000032	0.496026	-4.440404	-0.144188
124	Seq001/img/000125.png	Seq001/depth/000125.npy	1.000000	0.000463	0.000100	-0.000322	0.554878	-4.225066	-0.110958
125	Seq001/img/000126.png	Seq001/depth/000126.npy	1.000000	0.000326	-0.000024	-0.000837	0.432146	-4.368512	-0.121859
126	Seq001/img/000127.png	Seq001/depth/000127.npy	0.999999	-0.000778	0.000096	-0.000909	0.508894	-4.457855	-0.150449
127	Seq001/img/000128.png	Seq001/depth/000128.npy	0.990710	0.003540	-0.004785	0.135861	0.609706	-3.584300	-0.144257
128	Seq001/img/000129.png	Seq001/depth/000129.npy	0.867416	0.004192	-0.017824	0.497246	5.275690	-0.530074	0.152401
129	Seq001/img/000130.png	Seq001/depth/000130.npy	0.999177	0.000112	-0.001235	0.040553	1.195644	-4.326082	-0.004113
130	Seq001/img/000131.png	Seq001/depth/000131.npy	0.930758	0.000740	-0.012982	0.365404	1.152882	-0.825468	-0.008670
131	Seq001/img/000132.png	Seq001/depth/000132.npy	0.922045	0.006448	-0.002651	0.387021	4.473857	-1.682836	-0.198452
132	Seq001/img/000133.png	Seq001/depth/000133.npy	0.999126	-0.000324	-0.000589	0.041784	1.211422	-3.990303	-0.111077
133	Seq001/img/000134.png	Seq001/depth/000134.npy	0.999873	-0.000055	0.000130	0.015939	1.035986	-4.211402	-0.132324
134	Seq001/img/000135.png	Seq001/depth/000135.npy	0.999956	-0.000062	0.000227	0.009376	0.936724	-4.334389	-0.054756
135	Seq001/img/000136.png	Seq001/depth/000136.npy	0.999982	-0.000181	0.000098	0.006041	0.858267	-4.262319	-0.159287
136	Seq001/img/000137.png	Seq001/depth/000137.npy	0.999991	0.000824	-0.000147	0.004104	0.561105	-4.501397	-0.134524
137	Seq001/img/000138.png	Seq001/depth/000138.npy	0.999995	0.000610	-0.000052	0.003188	0.735231	-4.328076	-0.123749
138	Seq001/img/000139.png	Seq001/depth/000139.npy	0.999996	0.000011	-0.000132	0.002962	0.742943	-4.319398	-0.095056
139	Seq001/img/000140.png	Seq001/depth/000140.npy	0.999996	-0.000351	0.000198	0.002625	0.667145	-4.274655	-0.111793
140	Seq001/img/000141.png	Seq001/depth/000141.npy	0.999998	-0.000297	0.000667	0.001976	0.755344	-4.494079	-0.098178
141	Seq001/img/000142.png	Seq001/depth/000142.npy	0.999999	-0.000067	-0.000058	0.001536	0.530969	-4.321659	-0.129570
142	Seq001/img/000143.png	Seq001/depth/000143.npy	0.999999	0.000545	-0.000454	0.001224	0.458103	-4.459619	-0.119485
143	Seq001/img/000144.png	Seq001/depth/000144.npy	1.000000	0.000389	-0.000354	0.000723	0.597122	-4.227231	-0.088843
144	Seq001/img/000145.png	Seq001/depth/000145.npy	0.999999	-0.000632	0.000225	0.000789	0.615715	-4.395410	-0.112127
145	Seq001/img/000146.png	Seq001/depth/000146.npy	1.000000	-0.000091	0.000057	0.000697	0.565328	-4.252920	-0.113889
146	Seq001/img/000147.png	Seq001/depth/000147.npy	1.000000	-0.000308	0.000408	0.000802	0.612240	-4.478396	-0.123640
147	Seq001/img/000148.png	Seq001/depth/000148.npy	1.000000	-0.000492	0.000205	0.000493	0.553561	-4.387474	-0.161848
148	Seq001/img/000149.png	Seq001/depth/000149.npy	1.000000	0.000680	0.000116	0.000349	0.522541	-4.374331	-0.135352
149	Seq001/img/000150.png	Seq001/depth/000150.npy	1.000000	0.000914	-0.000081	-0.000189	0.634221	-4.302624	-0.175693
150	Seq001/img/000151.png	Seq001/depth/000151.npy	0.134844	-0.010322	-0.063280	0.988790	-2.075396	82.835714	-3.011179
151	Seq001/img/000152.png	Seq001/depth/000152.npy	0.999800	-0.006117	0.000561	-0.019046	-0.491711	9.263785	0.936639
152	Seq001/img/000153.png	Seq001/depth/000153.npy	0.999975	-0.004131	-0.001186	-0.005643	-0.697380	9.122860	1.132471
153	Seq001/img/000154.png	Seq001/depth/000154.npy	0.999995	0.001953	0.000395	-0.002318	-0.962048	8.708031	1.118789
154	Seq001/img/000155.png	Seq001/depth/000155.npy	0.999998	0.000279	-0.000581	-0.001654	-0.787427	8.776102	1.074695
155	Seq001/img/000156.png	Seq001/depth/000156.npy	0.999999	0.001003	0.000354	-0.000323	-0.954851	6.267581	0.816444
156	Seq001/img/000157.png	Seq001/depth/000157.npy	0.999998	-0.000138	-0.000964	-0.001450	-3.637808	8.136992	0.963428
157	Seq001/img/000158.png	Seq001/depth/000158.npy	0.999999	0.000934	-0.000246	-0.001302	-3.714382	8.003995	0.903227
158	Seq001/img/000159.png	Seq001/depth/000159.npy	0.999999	0.001268	0.000401	-0.000451	-3.748650	8.237842	0.971923
159	Seq001/img/000160.png	Seq001/depth/000160.npy	0.999998	-0.000884	-0.001599	-0.000686	-3.479618	8.151045	1.033303
160	Seq001/img/000161.png	Seq001/depth/000161.npy	1.000000	-0.000324	-0.000206	0.000287	-1.242130	2.234337	0.339847
161	Seq001/img/000162.png	Seq001/depth/000162.npy	0.999995	0.002951	0.000245	-0.000952	1.106649	-8.985197	-1.139848
162	Seq001/img/000163.png	Seq001/depth/000163.npy	0.999999	0.001266	0.000062	0.000009	0.933577	-8.853536	-1.027956
163	Seq001/img/000164.png	Seq001/depth/000164.npy	1.000000	0.000156	0.000633	0.000357	1.054027	-8.908973	-1.035959
164	Seq001/img/000165.png	Seq001/depth/000165.npy	0.999998	0.001804	0.000231	0.000008	0.913079	-8.825483	-0.984641
165	Seq001/img/000166.png	Seq001/depth/000166.npy	1.000000	0.000645	0.000236	-0.000489	1.173492	-8.913798	-0.938538
166	Seq001/img/000167.png	Seq001/depth/000167.npy	0.999999	-0.001493	0.000281	-0.000551	1.070931	-8.957335	-0.921055
167	Seq001/img/000168.png	Seq001/depth/000168.npy	1.000000	0.000575	0.000465	-0.000462	0.865101	-8.807085	-1.008553
168	Seq001/img/000169.png	Seq001/depth/000169.npy	0.999999	0.001016	-0.000932	0.000349	1.178221	-8.894249	-0.994957
169	Seq001/img/000170.png	Seq001/depth/000170.npy	0.999991	0.003956	-0.001256	-0.000683	1.147266	-8.994101	-0.952930
170	Seq001/img/000171.png	Seq001/depth/000171.npy	0.999998	0.000038	0.000701	0.002066	-0.310248	-2.103679	-0.202523
171	Seq001/img/000172.png	Seq001/depth/000172.npy	0.999981	0.004467	0.000152	-0.004141	-8.764566	-3.286724	-0.373852
172	Seq001/img/000173.png	Seq001/depth/000173.npy	0.999999	0.000215	-0.000937	-0.001255	-2.759968	-0.700319	-0.218972
173	Seq001/img/000174.png	Seq001/depth/000174.npy	0.999984	-0.004476	0.001428	0.003198	-0.931702	9.634095	0.958965
174	Seq001/img/000175.png	Seq001/depth/000175.npy	0.999995	-0.002601	-0.000563	-0.001418	-1.095357	8.776048	0.835361
175	Seq001/img/000176.png	Seq001/depth/000176.npy	0.999995	-0.002026	-0.002499	-0.000399	-0.953979	8.927378	0.889178
176	Seq001/img/000177.png	Seq001/depth/000177.npy	0.999997	-0.001495	0.001819	-0.000325	-1.124107	8.944710	1.039352
177	Seq001/img/000178.png	Seq001/depth/000178.npy	0.999991	0.003788	0.001931	0.000148	-1.241986	8.566309	0.895357
178	Seq001/img/000179.png	Seq001/depth/000179.npy	0.999998	-0.000428	-0.001613	0.000822	-0.974174	8.902013	0.960544
179	Seq001/img/000180.png	Seq001/depth/000180.npy	0.999999	-0.000143	0.000071	-0.001065	-1.098937	8.967567	0.946445
180	Seq001/img/000181.png	Seq001/depth/000181.npy	0.999999	0.001277	0.000338	0.000509	-1.138283	8.828011	0.922534
181	Seq001/img/000182.png	Seq001/depth/000182.npy	0.999999	0.000616	-0.000881	0.000682	-1.095476	8.872410	0.929216
182	Seq001/img/000183.png	Seq001/depth/000183.npy	0.999999	-0.000425	0.001347	-0.000909	-1.172070	7.767512	0.883265
183	Seq001/img/000184.png	Seq001/depth/000184.npy	0.999992	0.003610	0.000929	0.001615	-8.576635	-4.376075	-0.567812
184	Seq001/img/000185.png	Seq001/depth/000185.npy	0.999998	0.001344	-0.001215	-0.000805	-3.035267	-2.038745	-0.165937
185	Seq001/img/000186.png	Seq001/depth/000186.npy	0.999996	0.002151	0.000681	-0.001691	1.618296	-9.206796	-0.931787
186	Seq001/img/000187.png	Seq001/depth/000187.npy	0.999999	0.001042	-0.000904	0.000605	1.171346	-8.861998	-0.767421
187	Seq001/img/000188.png	Seq001/depth/000188.npy	1.000000	0.000360	-0.000304	0.000326	1.011394	-8.793382	-0.712296
188	Seq001/img/000189.png	Seq001/depth/000189.npy	0.999999	0.000447	0.000182	0.001076	0.999299	-8.996499	-0.787707
189	Seq001/img/000190.png	Seq001/depth/000190.npy	1.000000	-0.000313	0.000172	0.000223	1.096243	-8.919838	-0.740135
190	Seq001/img/000191.png	Seq001/depth/000191.npy	0.999999	-0.000741	0.000565	-0.000697	1.057401	-8.828560	-0.723170
191	Seq001/img/000192.png	Seq001/depth/000192.npy	0.999999	0.000971	-0.000260	-0.000024	1.067339	-9.093966	-0.769391
192	Seq001/img/000193.png	Seq001/depth/000193.npy	1.000000	-0.000775	0.000164	-0.000431	1.071738	-8.746428	-0.752300
193	Seq001/img/000194.png	Seq001/depth/000194.npy	1.000000	0.000072	-0.000405	0.000080	1.136709	-8.955677	-0.772743
194	Seq001/img/000195.png	Seq001/depth/000195.npy	0.999997	0.000873	0.000957	0.002152	0.342752	-7.271162	-0.623172
195	Seq001/img/000196.png	Seq001/depth/000196.npy	0.999999	0.000106	-0.000569	-0.001129	-8.671425	-3.137686	-0.267550
196	Seq001/img/000197.png	Seq001/depth/000197.npy	0.999998	-0.001105	-0.000715	-0.001335	-2.766605	-0.587509	-0.197418
197	Seq001/img/000198.png	Seq001/depth/000198.npy	0.999988	-0.003430	-0.001151	0.003449	-0.829688	9.445036	0.841540
198	Seq001/img/000199.png	Seq001/depth/000199.npy	0.999996	-0.002318	0.001329	-0.000690	-1.140085	8.866511	0.811901
199	Seq001/img/000200.png	Seq001/depth/000200.npy	0.999999	-0.000283	0.001050	-0.001260	-1.012939	8.713674	0.868897
200	Seq001/img/000201.png	Seq001/depth/000201.npy	0.999998	0.000239	-0.001808	0.000534	-0.951809	9.050615	0.847758
201	Seq001/img/000202.png	Seq001/depth/000202.npy	0.999999	-0.000847	-0.000908	-0.000667	-1.035172	8.869345	0.905507
202	Seq001/img/000203.png	Seq001/depth/000203.npy	0.999987	0.004420	0.002091	-0.001699	-1.217270	8.607125	0.816029
203	Seq001/img/000204.png	Seq001/depth/000204.npy	1.000000	-0.000563	0.000160	0.000353	-1.161400	8.885298	0.758558
204	Seq001/img/000205.png	Seq001/depth/000205.npy	1.000000	-0.000048	-0.000597	0.000501	-0.986976	8.851806	0.769149
205	Seq001/img/000206.png	Seq001/depth/000206.npy	1.000000	0.000279	-0.000093	0.000920	-1.102508	8.973127	0.881623
206	Seq001/img/000207.png	Seq001/depth/000207.npy	1.000000	-0.000376	0.000423	-0.000456	-1.203462	5.695294	0.587027
207	Seq001/img/000208.png	Seq001/depth/000208.npy	0.999996	0.002482	0.000883	0.000913	-8.261063	-4.197488	-0.446047
208	Seq001/img/000209.png	Seq001/depth/000209.npy	0.999997	0.002117	-0.000763	-0.000675	-3.067893	-1.983092	-0.096117
